symbol,series,date,prev_close,open,high,low,last,close,AVG_PRICE,volume,turnover_lacs,num_trades,deliv_qty,deliv_per
HDFCBANK, EQ,2025-04-17,1878.0,1882.0,1919.7,1876.7,1905.8,1906.7,1901.41,17851542,339431.69,394807,11300117,63.3
HDFCBANK, EQ,2025-04-21,1906.7,1924.0,1950.7,1910.0,1925.2,1927.1,1930.83,17123649,330628.32,411337,11600626,67.75
HDFCBANK, EQ,2025-04-22,1927.1,1935.0,1970.6,1935.0,1960.0,1961.7,1957.16,22980875,449772.16,512026,16513580,71.86
HDFCBANK, EQ,2025-04-23,1961.7,1978.9,1978.9,1920.5,1920.7,1923.9,1939.04,15285321,296389.24,247823,11159514,73.01
HDFCBANK, EQ,2025-04-24,1923.9,1910.0,1923.9,1905.1,1914.9,1916.8,1916.73,12965877,248520.92,227034,7662734,59.1
HDFCBANK, EQ,2025-04-25,1916.8,1924.8,1933.0,1891.8,1908.0,1911.2,1911.37,9250439,176810.17,201781,5999133,64.85
HDFCBANK, EQ,2025-04-28,1911.2,1911.2,1929.7,1908.4,1921.0,1920.2,1922.17,6960246,133787.46,155527,4859663,69.82
HDFCBANK, EQ,2025-04-29,1920.2,1918.8,1928.8,1900.2,1906.0,1908.8,1909.52,9459154,180624.39,186299,6019766,63.64
HDFCBANK, EQ,2025-04-30,1908.8,1913.0,1936.9,1910.3,1920.1,1925.0,1925.02,15968435,307394.92,275126,11378694,71.26
HDFCBANK, EQ,2025-05-02,1925.0,1929.8,1941.9,1920.0,1923.5,1925.0,1930.63,11406024,220208.21,236285,8647253,75.81
HDFCBANK, EQ,2025-05-05,1925.0,1939.0,1952.0,1932.3,1935.8,1936.8,1940.79,7534012,146219.4,160044,4772438,63.35
HDFCBANK, EQ,2025-05-06,1936.8,1930.0,1940.1,1924.3,1928.6,1931.7,1931.89,8745078,168944.89,140830,6377477,72.93
HDFCBANK, EQ,2025-05-07,1931.7,1934.0,1948.7,1922.4,1945.0,1945.6,1939.91,10710389,207771.46,178998,7816814,72.98
HDFCBANK, EQ,2025-05-08,1945.6,1954.8,1954.8,1919.1,1921.5,1928.5,1933.8,17401715,336514.32,280256,11992864,68.92
HDFCBANK, EQ,2025-05-09,1928.5,1910.1,1919.0,1886.8,1893.3,1889.7,1894.97,8594398,162861.45,292155,6418433,74.68
HDFCBANK, EQ,2025-05-12,1889.7,1917.6,1959.9,1912.3,1956.4,1957.2,1948.86,9309486,181428.65,207249,6484427,69.65
HDFCBANK, EQ,2025-05-13,1957.2,1950.0,1961.7,1920.0,1924.9,1922.6,1930.6,12121051,234009.37,234495,8111085,66.92
HDFCBANK, EQ,2025-05-14,1922.6,1922.1,1930.2,1903.0,1913.5,1910.6,1914.76,7722654,147870.0,189542,5324638,68.95
HDFCBANK, EQ,2025-05-15,1910.6,1913.5,1944.8,1897.0,1933.8,1933.8,1923.01,16120729,310003.3,224596,8875200,55.05
HDFCBANK, EQ,2025-05-16,1933.8,1933.8,1943.8,1928.4,1934.5,1934.7,1933.5,7934005,153404.26,175140,5821408,73.37
HDFCBANK, EQ,2025-05-19,1934.7,1937.0,1945.0,1931.0,1937.1,1938.7,1938.13,5101482,98873.38,156815,3240362,63.52
HDFCBANK, EQ,2025-05-20,1938.7,1928.1,1934.6,1913.0,1917.1,1914.9,1918.55,11939545,229066.56,176524,8268352,69.25
HDFCBANK, EQ,2025-05-21,1914.9,1927.0,1946.9,1921.1,1925.2,1926.8,1930.42,7566020,146055.83,205548,4481751,59.24
HDFCBANK, EQ,2025-05-22,1926.8,1915.2,1924.2,1905.2,1924.0,1919.9,1914.84,10653335,203994.11,255429,6993511,65.65
HDFCBANK, EQ,2025-05-23,1919.9,1920.1,1937.0,1914.5,1933.5,1933.6,1929.98,4783036,92311.51,116301,3324907,69.51
HDFCBANK, EQ,2025-05-26,1933.6,1935.0,1949.9,1926.9,1940.3,1940.2,1939.47,5401430,104759.12,201842,3386064,62.69
HDFCBANK, EQ,2025-05-27,1940.2,1931.6,1948.0,1916.3,1926.8,1926.3,1927.12,13081074,252087.51,202672,7560818,57.8
HDFCBANK, EQ,2025-05-28,1926.3,1920.2,1934.5,1917.7,1928.4,1923.5,1922.92,9078797,174578.07,179687,6653105,73.28
HDFCBANK, EQ,2025-05-29,1923.5,1928.0,1940.8,1907.3,1937.6,1927.5,1921.28,14458897,277795.61,215462,8083688,55.91
HDFCBANK, EQ,2025-05-30,1927.5,1931.9,1948.8,1925.4,1941.5,1944.9,1939.36,14374039,278763.95,152055,10680728,74.31
HDFCBANK, EQ,2025-06-02,1944.9,1930.1,1936.0,1908.0,1931.0,1932.1,1924.65,7334411,141161.53,202297,4806505,65.53
HDFCBANK, EQ,2025-06-03,1932.1,1938.0,1952.0,1920.0,1923.5,1924.6,1933.85,12188792,235713.33,202204,8884330,72.89
HDFCBANK, EQ,2025-06-04,1924.6,1921.0,1943.3,1920.9,1939.5,1941.2,1935.52,6480771,125436.93,205372,4648807,71.73
