symbol,series,date,prev_close,open,high,low,last,close,AVG_PRICE,volume,turnover_lacs,num_trades,deliv_qty,deliv_per
ICICIBANK, EQ,2025-04-17,1356.4,1362.0,1408.9,1360.1,1407.0,1406.7,1391.92,17490424,243451.99,294006,10291194,58.84
ICICIBANK, EQ,2025-04-21,1406.7,1436.0,1436.0,1404.7,1408.1,1409.8,1416.7,16882426,239174.05,291654,8826072,52.28
ICICIBANK, EQ,2025-04-22,1409.8,1412.8,1418.8,1398.9,1414.0,1416.5,1410.65,16135274,227611.77,275616,10389426,64.39
ICICIBANK, EQ,2025-04-23,1416.5,1429.0,1429.9,1411.3,1422.0,1424.4,1421.06,13990764,198816.7,220724,11054767,79.01
ICICIBANK, EQ,2025-04-24,1424.4,1416.3,1421.2,1398.8,1401.0,1402.7,1407.84,15678099,220722.11,210098,9875876,62.99
ICICIBANK, EQ,2025-04-25,1402.7,1410.0,1414.8,1388.4,1403.0,1404.8,1400.91,11705093,163977.82,234552,6967494,59.53
ICICIBANK, EQ,2025-04-28,1404.8,1405.6,1435.0,1403.8,1428.0,1428.8,1427.33,10948561,156271.95,192819,7494044,68.45
ICICIBANK, EQ,2025-04-29,1428.8,1428.8,1438.3,1422.6,1425.5,1429.8,1428.52,10786910,154092.65,223499,6392864,59.27
ICICIBANK, EQ,2025-04-30,1429.8,1433.0,1433.7,1400.0,1424.3,1427.0,1427.91,14192027,202649.76,238248,10600497,74.69
ICICIBANK, EQ,2025-05-02,1427.0,1426.9,1446.6,1424.6,1429.0,1432.4,1436.51,10763492,154618.2,170242,7347476,68.26
ICICIBANK, EQ,2025-05-05,1432.4,1440.0,1446.8,1426.0,1427.4,1429.4,1432.29,4565705,65393.98,115354,2952560,64.67
ICICIBANK, EQ,2025-05-06,1429.4,1429.0,1433.7,1420.4,1430.0,1431.6,1428.23,6301690,90002.66,133476,3973156,63.05
ICICIBANK, EQ,2025-05-07,1431.6,1425.0,1442.0,1421.0,1437.1,1435.4,1431.25,10480453,150001.68,166481,7671334,73.2
