symbol,series,date,prev_close,open,high,low,last,close,AVG_PRICE,volume,turnover_lacs,num_trades,deliv_qty,deliv_per
INFY, EQ,2025-04-17,1413.1,1398.0,1429.8,1378.3,1427.7,1419.5,1400.17,14264227,199723.56,349779,8263644,57.93
INFY, EQ,2025-04-21,1419.5,1410.0,1471.8,1410.0,1449.0,1451.0,1452.45,15648970,227293.79,271048,7851537,50.17
INFY, EQ,2025-04-22,1451.0,1440.0,1440.0,1419.3,1423.0,1422.8,1425.14,9399738,133959.56,245817,5102605,54.28
INFY, EQ,2025-04-23,1422.8,1446.0,1487.8,1439.6,1476.2,1474.9,1471.47,11136642,163871.81,249560,6032751,54.17
INFY, EQ,2025-04-24,1474.9,1469.9,1482.9,1461.5,1473.0,1471.4,1471.62,7114292,104695.6,175991,4414774,62.06
INFY, EQ,2025-04-25,1471.4,1475.5,1501.7,1463.5,1480.0,1480.2,1484.47,8329979,123655.98,199876,3656613,43.9
INFY, EQ,2025-04-28,1480.2,1480.2,1489.6,1465.3,1481.0,1482.1,1478.19,5886253,87010.29,146345,3383796,57.49
INFY, EQ,2025-04-29,1482.1,1482.0,1509.8,1474.1,1498.0,1497.5,1495.87,8056743,120518.62,207221,4600292,57.1
INFY, EQ,2025-04-30,1497.5,1496.8,1508.8,1482.6,1491.5,1500.1,1499.93,7704183,115557.16,128359,5424565,70.41
INFY, EQ,2025-05-02,1500.1,1499.7,1523.2,1496.2,1502.0,1506.8,1509.45,8733014,131820.67,235475,5090091,58.29
INFY, EQ,2025-05-05,1506.8,1515.0,1523.0,1502.8,1507.0,1508.6,1509.96,4282493,64663.87,130549,2583603,60.33
INFY, EQ,2025-05-06,1508.6,1506.0,1515.6,1499.1,1511.0,1511.5,1509.58,4270530,64466.98,105354,2438354,57.1
INFY, EQ,2025-05-07,1511.5,1500.0,1518.8,1496.6,1508.8,1508.3,1509.03,5691799,85891.04,144103,3746480,65.82
INFY, EQ,2025-05-08,1508.3,1508.0,1516.5,1501.2,1506.0,1511.4,1508.8,8424409,127107.84,217543,4624643,54.9
INFY, EQ,2025-05-09,1511.4,1500.7,1511.4,1494.1,1507.2,1507.6,1504.2,4478653,67367.82,144158,2995090,66.87
INFY, EQ,2025-05-12,1507.6,1537.0,1632.0,1532.0,1623.5,1626.9,1593.89,11372857,181271.26,290108,6667113,58.62
INFY, EQ,2025-05-13,1626.9,1609.0,1612.2,1564.6,1567.9,1568.6,1579.63,12846210,202922.58,335293,7362230,57.31
INFY, EQ,2025-05-14,1568.6,1574.0,1595.0,1569.5,1592.8,1592.4,1588.83,4870057,77376.88,144908,3098691,63.63
INFY, EQ,2025-05-15,1592.4,1589.8,1618.6,1571.0,1609.5,1613.0,1600.37,11151167,178460.28,226053,5705420,51.16
INFY, EQ,2025-05-16,1613.0,1612.6,1612.6,1581.5,1589.4,1589.9,1591.32,4576751,72830.68,132211,2596001,56.72
INFY, EQ,2025-05-19,1589.9,1576.5,1585.0,1555.7,1557.9,1559.8,1565.44,8855798,138632.31,186064,5456677,61.62
INFY, EQ,2025-05-20,1559.8,1570.0,1583.5,1558.0,1563.5,1560.6,1566.97,7143998,111944.55,160169,4221467,59.09
INFY, EQ,2025-05-21,1560.6,1567.9,1571.0,1552.1,1566.9,1568.5,1566.02,4157309,65104.14,112304,2650877,63.76
INFY, EQ,2025-05-22,1568.5,1555.5,1560.8,1540.0,1551.0,1547.5,1548.79,6158990,95389.94,162974,3066603,49.79
INFY, EQ,2025-05-23,1547.5,1550.0,1587.2,1550.0,1566.1,1564.8,1573.82,5038421,79295.82,119392,2852197,56.61
INFY, EQ,2025-05-26,1564.8,1566.6,1583.8,1562.7,1582.0,1580.5,1577.54,3170102,50009.74,84853,1872239,59.06
INFY, EQ,2025-05-27,1580.5,1579.9,1582.9,1556.4,1570.9,1570.1,1567.8,7775714,121907.52,206543,4301312,55.32
INFY, EQ,2025-05-28,1570.1,1581.0,1587.7,1570.0,1571.8,1571.8,1576.59,3623370,57125.74,136660,2213676,61.09
INFY, EQ,2025-05-29,1571.8,1589.0,1608.9,1576.6,1586.5,1585.6,1588.46,8609500,136758.17,194291,4161862,48.34
INFY, EQ,2025-05-30,1585.6,1571.0,1572.0,1555.1,1561.9,1562.7,1563.06,13148092,205512.63,167400,9205070,70.01
INFY, EQ,2025-06-02,1562.7,1560.0,1560.0,1539.0,1551.0,1553.8,1550.25,4374509,67815.87,131906,2583543,59.06
INFY, EQ,2025-06-03,1553.8,1559.0,1567.3,1535.6,1543.0,1543.0,1546.37,6853403,105978.7,195003,4183164,61.04
INFY, EQ,2025-06-04,1543.0,1543.0,1557.3,1541.4,1550.0,1551.2,1550.49,4548307,70521.05,118648,3140523,69.05
INFY, EQ,2025-06-05,1551.2,1547.9,1567.7,1541.6,1554.5,1554.3,1554.78,6948539,108034.74,128309,3483095,50.13
INFY, EQ,2025-06-06,1554.3,1554.7,1568.9,1543.1,1568.0,1563.8,1557.14,3960020,61662.93,90826,2376954,60.02
INFY, EQ,2025-06-09,1563.8,1578.0,1588.0,1571.0,1572.0,1572.9,1577.22,2903202,45789.76,113233,1528864,52.66
INFY, EQ,2025-06-10,1572.9,1584.0,1607.5,1577.5,1594.0,1596.0,1595.07,8591925,137046.99,222769,4655959,54.19
INFY, EQ,2025-06-11,1596.0,1590.1,1634.6,1590.1,1628.0,1631.1,1617.71,10597410,171435.55,219452,7578232,71.51
INFY, EQ,2025-06-12,1631.1,1617.0,1628.0,1598.1,1605.0,1608.6,1612.28,10483574,169024.15,316383,6174237,58.89
INFY, EQ,2025-06-13,1608.6,1576.0,1609.0,1570.2,1605.0,1602.0,1598.18,6968315,111366.53,216576,4544327,65.21
INFY, EQ,2025-06-16,1602.0,1600.0,1634.8,1597.1,1622.1,1623.8,1621.63,5591842,90679.23,138140,3682856,65.86
INFY, EQ,2025-06-17,1623.8,1620.7,1647.4,1615.6,1638.0,1639.9,1637.98,7622083,124848.37,212796,4750675,62.33
INFY, EQ,2025-06-18,1639.9,1621.0,1644.7,1621.0,1632.0,1632.9,1631.66,5629707,91857.43,140846,3633595,64.54
