symbol,series,date,prev_close,open,high,low,last,close,AVG_PRICE,volume,turnover_lacs,num_trades,deliv_qty,deliv_per
RELIANCE, EQ,2025-04-17,1239.3,1240.2,1280.2,1227.6,1273.0,1274.5,1260.38,15398401,194078.71,321235,8657714,56.22
RELIANCE, EQ,2025-04-21,1274.5,1270.0,1300.9,1267.0,1295.2,1295.5,1291.47,10429964,134699.5,257857,6583600,63.12
RELIANCE, EQ,2025-04-22,1295.5,1300.0,1303.9,1286.3,1289.0,1291.2,1295.99,13051707,169149.01,229331,9226837,70.69
RELIANCE, EQ,2025-04-23,1291.2,1297.0,1306.0,1285.4,1297.0,1300.0,1297.08,10480888,135945.98,232149,6681779,63.75
RELIANCE, EQ,2025-04-24,1300.0,1292.4,1304.5,1290.3,1303.5,1301.6,1298.32,10468940,135920.84,181309,7034174,67.19
RELIANCE, EQ,2025-04-25,1301.6,1303.5,1325.2,1288.1,1301.0,1300.4,1303.3,14431012,188079.08,307093,6943157,48.11
RELIANCE, EQ,2025-04-28,1300.4,1340.0,1374.6,1320.2,1366.3,1368.8,1355.02,31104496,421471.23,893347,17939278,57.67
RELIANCE, EQ,2025-04-29,1368.8,1371.0,1410.9,1370.0,1398.9,1399.7,1395.77,32538970,454170.61,680195,21685829,66.65
RELIANCE, EQ,2025-04-30,1399.7,1402.0,1412.4,1369.0,1395.0,1405.0,1404.87,25480745,357972.2,598769,18305940,71.84
RELIANCE, EQ,2025-05-02,1405.0,1414.0,1426.7,1409.1,1422.5,1422.4,1419.65,17535402,248941.4,378385,11323037,64.57
RELIANCE, EQ,2025-05-05,1422.4,1431.0,1439.5,1426.9,1430.0,1431.3,1432.0,12685649,181658.44,204503,9447755,74.48
RELIANCE, EQ,2025-05-06,1431.3,1431.0,1432.0,1410.6,1418.0,1420.9,1419.01,14084117,199855.6,226761,10124390,71.89
RELIANCE, EQ,2025-05-07,1420.9,1420.9,1424.4,1402.7,1405.9,1406.0,1412.79,13440169,189881.26,222903,9934849,73.92
RELIANCE, EQ,2025-05-08,1406.0,1404.1,1420.8,1398.0,1398.0,1407.0,1410.51,16106175,227178.78,231342,9993501,62.05
RELIANCE, EQ,2025-05-09,1407.0,1385.5,1394.8,1374.5,1379.5,1377.2,1382.39,13668904,188957.51,388013,10191308,74.56
RELIANCE, EQ,2025-05-12,1377.2,1400.0,1439.0,1400.0,1436.9,1436.5,1426.35,10674081,152249.7,310602,6995270,65.54
RELIANCE, EQ,2025-05-13,1436.5,1433.5,1447.7,1412.4,1416.5,1415.7,1423.23,11407896,162361.03,281992,5936423,52.04
RELIANCE, EQ,2025-05-14,1415.7,1420.0,1429.9,1415.5,1425.2,1424.4,1423.31,5570160,79280.46,145014,3082135,55.33
RELIANCE, EQ,2025-05-15,1424.4,1425.0,1461.4,1412.7,1453.0,1454.2,1441.41,20177211,290836.84,314261,11162761,55.32
RELIANCE, EQ,2025-05-16,1454.2,1453.2,1461.0,1447.3,1454.8,1456.4,1455.16,9036695,131497.98,196322,6326662,70.01
RELIANCE, EQ,2025-05-19,1456.4,1452.1,1454.6,1438.2,1442.9,1440.8,1443.67,6195791,89447.06,144606,3890227,62.79
RELIANCE, EQ,2025-05-20,1440.8,1438.2,1445.0,1421.8,1424.5,1424.6,1429.91,11270560,161159.06,182531,8038555,71.32
